firstName,middleInitial,lastName,age,sex,primaryAddress,NPI,enumerationDate,languagesSpoke,specialization,secondaryAddress,acceptedInsurance,newPatients,URL,primaryPhone,secondaryPhone,reviewAvg
William,K,Jones,37,M,"4364 Sunset Blvd, Austin, GA 57342",3356629726,2010-04-08,German;Arabic;Spanish,Dermatology;Cardiology,"1013 Cedar Ln, Atlanta, NC 28014",Humana;UnitedHealth,True,https://www.jones72.familydocs.net,491-290-7199,524-936-9632,4.95
David,U,Anderson,63,M,"8055 Hillcrest Rd, Austin, GA 91913",8488878226,2008-08-17,Hindi;Portuguese;German,Psychiatry;Pediatrics,"4820 Oak St, Nashville, NC 85474",UnitedHealth;Aetna,True,https://www.anderson15.caregroup.com,707-446-6855,645-313-4307,4.19
Susan,Y,Moore,53,F,"9751 Hillcrest Rd, Nashville, GA 17969",2374547237,2016-12-10,Portuguese;Mandarin,Pediatrics;Radiology,"5600 Pine Rd, Nashville, NC 79543",Humana;Aetna;Cigna,True,https://www.moore50.familydocs.net,284-314-3916,953-867-5676,3.9
Thomas,D,Wilson,30,F,"3224 Oak St, Austin, TN 98638",4229857016,2005-08-04,Spanish;French;Arabic,Urology,"857 Maple Ave, Jacksonville, TN 93900",BlueCross;UnitedHealth;Cigna,False,https://www.wilson32.healthclinic.com,514-627-9935,948-518-9030,2.85
Thomas,O,Thomas,37,F,"5523 Elm St, Atlanta, TX 95605",7428989831,2014-10-20,Hindi;German,Cardiology;Family Medicine,"5459 Elm St, Atlanta, TX 81309",UnitedHealth;Humana;Cigna;BlueCross,False,https://www.thomas69.healthclinic.com,413-479-5911,808-515-2796,4.93
Susan,T,Rodriguez,39,F,"4883 Sunset Blvd, Atlanta, TX 50909",2167191224,2014-08-06,French;Spanish,Radiology,"9586 Pine Rd, Atlanta, TX 19000",Aetna;Humana;Kaiser,True,https://www.rodriguez76.medcare.org,374-333-6565,773-295-8313,3.22
Charles,K,Wilson,67,F,"3992 Oak St, Austin, TN 22541",9771395868,2023-08-15,Hindi;Portuguese;Spanish,Family Medicine;Orthopedics,"503 Lakeview Dr, Raleigh, GA 60617",BlueCross;Aetna;UnitedHealth,False,https://www.wilson88.healthclinic.com,945-302-3041,805-224-8465,3.21
Thomas,F,Davis,64,F,"9173 Cedar Ln, Dallas, GA 72271",3912874720,2024-04-15,Mandarin,Neurology;Psychiatry,"6189 Cedar Ln, Jacksonville, TX 85308",Humana;BlueCross,True,https://www.davis90.medcare.org,637-440-1387,666-892-5326,4.85
Robert,S,Brown,34,M,"9982 Sunset Blvd, Orlando, TN 19832",6394558333,2007-04-09,Arabic;Hindi;Mandarin,Urology,"4234 Oak St, Jacksonville, FL 24867",UnitedHealth;Aetna;Cigna,True,https://www.brown50.medcare.org,213-534-3736,493-659-3784,3.51
William,X,Thomas,62,M,"9586 Sunset Blvd, Charlotte, NC 82883",2872874833,2020-12-18,Arabic;Portuguese,Urology,"6370 Cedar Ln, Dallas, GA 52613",Kaiser;Cigna;Aetna;UnitedHealth,False,https://www.thomas47.healthclinic.com,903-646-1730,652-634-7673,2.53
David,C,Johnson,58,F,"7104 Pine Rd, Jacksonville, FL 40086",4670351749,2012-12-10,Mandarin;French,Cardiology,"8346 Washington Ave, Charlotte, NC 86071",UnitedHealth;Cigna,True,https://www.johnson54.healthclinic.com,942-481-8717,561-710-2836,4.24
David,R,Davis,67,M,"5569 Oak St, Orlando, TX 52119",7210076278,2022-01-26,English;Mandarin,Family Medicine,"9366 Pine Rd, Tampa, TX 40648",Aetna;BlueCross;Humana,False,https://www.davis42.caregroup.com,493-959-6467,271-837-1421,4.23
